a	a	sad	b	b	negative
a	a	hopeless	b	b	negative
a	a	happy	b	b	positive
a	a	anxious	b	b	negative
a	a	wonderful	b	b	positive
a	a	depressed	b	b	negative
a	a	joy	b	b	positive
a	a	crying	b	b	negative
a	a	amazing	b	b	positive
a	a	alone	b	b	negative
a	a	grateful	b	b	positive
a	a	empty	b	b	negative
a	a	blessed	b	b	positive
a	a	miserable	b	b	negative
a	a	great	b	b	positive
a	a	worthless	b	b	negative
a	a	accomplished	b	b	positive
a	a	stress	b	b	negative
a	a	beautiful	b	b	positive
a	a	lonely	b	b	negative
a	a	energetic	b	b	positive
a	a	anxiety	b	b	negative
a	a	happiness	b	b	positive
a	a	depression	b	b	negative
a	a	positive	b	b	positive
a	a	dark	b	b	negative
a	a	productive	b	b	positive
a	a	struggling	b	b	negative
a	a	satisfied	b	b	positive
a	a	low	b	b	negative
a	a	love	b	b	positive
a	a	pain	b	b	negative
a	a	excited	b	b	positive
a	a	hurt	b	b	negative
a	a	peaceful	b	b	positive
a	a	tired	b	b	negative
a	a	motivated	b	b	positive
a	a	hopeless	b	b	negative
a	a	joyful	b	b	positive
a	a	worthless	b	b	negative
